vehicle,alt_ft,range_mi,total_mission_energy_kw_hr,peak_avg_electric_power_kw,sized_mtow_kg,iterations,converged
archer-midnight,1500,30,65.9495832018569,846.5207929185908,2019.4755513805146,18,True
archer-midnight,1500,45,92.37323333721393,846.5207929185908,2262.118274996134,20,True
archer-midnight,1500,60,118.79688347257094,846.5207929185908,2545.007268354564,23,True
joby-s4,1500,30,44.17601495145421,525.8325538328481,2303.6613082252093,28,True
joby-s4,1500,45,60.80097834751436,525.8325538328481,2677.2819609126677,43,True
joby-s4,1500,60,77.42594174357451,525.8325538328481,,,False
supernal,1500,30,71.98964886813685,624.2554902421255,2417.2194732730886,22,True
supernal,1500,45,101.51468095103588,624.2554902421255,2757.500438316523,25,True
supernal,1500,60,131.03971303393485,624.2554902421255,3203.076751171303,29,True
archer-midnight,3000,30,63.933535791421775,796.5833760926807,1973.7507614899748,19,True
archer-midnight,3000,45,89.773512458946,796.5833760926807,2210.9020074216287,21,True
archer-midnight,3000,60,115.61348912647024,796.5833760926807,2488.8259371524246,23,True
joby-s4,3000,30,46.04735148730945,494.81297387563245,2357.6297758956207,29,True
joby-s4,3000,45,62.587577143676974,494.81297387563245,2831.370785194723,60,True
joby-s4,3000,60,79.1278028000445,494.81297387563245,,,False
supernal,3000,30,68.64248819434795,587.429806947797,2364.5872260822334,23,True
supernal,3000,45,97.54300630510106,587.429806947797,2694.533183528194,26,True
supernal,3000,60,126.44352441585414,587.429806947797,3132.6510733867226,31,True
