design_range_nm,spec_energy_whkg,fuel_mileage_lb_per_nmi,fuel_mileage_lb_per_nmi_halfwidth,fuel_mileage_lb_per_nmi_colour_err,doc_per_nmi,doc_per_nmi_halfwidth,doc_per_nmi_colour_err,electric_percent,electric_percent_halfwidth,electric_percent_colour_err,MTOW_lb,MTOW_lb_halfwidth,MTOW_lb_colour_err
300.0,250.0,1.351541,0.005814,1.0,0.711591,0.010522,0.0,5.789843,0.291198,1.41,8250.993095,13.810789,1.41
300.0,300.0,1.334099,0.005814,1.0,0.711591,0.010522,0.0,6.663437,0.291198,0.0,8223.371518,13.810789,1.0
300.0,350.0,0.618983,0.005814,1.0,0.663192,0.010522,0.0,70.726979,0.291198,1.41,12573.769939,13.810789,0.0
300.0,400.0,0.30503,0.005814,1.0,0.536932,0.010522,0.0,85.869271,0.291198,1.73,12573.769939,13.810789,0.0
300.0,450.0,0.014332,0.005814,5.1,0.438029,0.010522,0.0,99.555574,0.291198,2.24,12394.229686,13.810789,1.0
300.0,500.0,0.014332,0.005814,5.1,0.362273,0.010522,0.0,99.555574,0.291198,2.24,11358.420539,13.810789,1.41
300.0,550.0,0.014332,0.005814,5.1,0.337022,0.010522,0.0,99.555574,0.291198,2.24,10598.827164,13.810789,0.0
300.0,600.0,0.014332,0.005814,5.1,0.31177,0.010522,0.0,99.555574,0.291198,2.24,10115.449561,13.810789,1.0
300.0,650.0,0.014332,0.005814,5.1,0.286518,0.010522,0.0,99.555574,0.291198,2.24,9673.504325,13.810789,1.0
300.0,700.0,0.014332,0.005814,5.1,0.286518,0.010522,0.0,99.555574,0.291198,2.24,9328.234609,13.810789,1.0
300.0,750.0,0.014332,0.005814,5.1,0.26337,0.010522,0.0,99.555574,0.291198,2.24,9065.829625,13.810789,1.41
300.0,800.0,0.014332,0.005814,5.1,0.26337,0.010522,0.0,99.555574,0.291198,2.24,8844.857007,13.810789,1.0
325.0,250.0,1.380611,0.005814,1.0,0.711591,0.010522,0.0,5.207447,0.291198,1.41,8320.047039,13.810789,0.0
325.0,300.0,1.351541,0.005814,1.0,0.711591,0.010522,0.0,6.372239,0.291198,0.0,8306.23625,13.810789,0.0
325.0,350.0,1.200378,0.005814,1.0,0.711591,0.010522,0.0,29.376874,0.291198,1.0,9770.179845,13.810789,0.0
325.0,400.0,0.52596,0.005814,1.0,0.587436,0.010522,0.0,75.968542,0.291198,1.41,12573.769939,13.810789,0.0
325.0,450.0,0.212006,0.005814,1.41,0.487481,0.009469,4.58,90.528438,0.291198,1.41,12573.769939,13.810789,0.0
325.0,500.0,0.014332,0.005814,5.1,0.387525,0.010522,0.0,99.555574,0.291198,2.24,12131.824702,13.810789,1.41
325.0,550.0,0.014332,0.005814,5.1,0.337022,0.010522,0.0,99.555574,0.291198,2.24,11234.123441,13.810789,1.0
325.0,600.0,0.014332,0.005814,5.1,0.31177,0.010522,0.0,99.555574,0.291198,2.24,10598.827164,13.810789,1.0
325.0,650.0,0.014332,0.005814,5.1,0.286518,0.010522,0.0,99.555574,0.291198,2.24,10115.449561,13.810789,1.0
325.0,700.0,0.014332,0.005814,5.1,0.286518,0.010522,0.0,99.555574,0.291198,2.24,9701.125902,13.810789,1.0
325.0,750.0,0.014332,0.005814,5.1,0.26337,0.010522,0.0,99.555574,0.291198,2.24,9397.288552,13.810789,1.41
325.0,800.0,0.014332,0.005814,5.1,0.26337,0.010522,0.0,99.555574,0.291198,2.24,9176.315934,13.810789,1.41
350.0,250.0,1.403867,0.005814,1.41,0.711591,0.010522,0.0,5.207447,0.291198,1.41,8416.722559,13.810789,1.41
350.0,300.0,1.380611,0.005814,1.0,0.688444,0.010522,0.0,5.789843,0.291198,1.41,8402.91177,13.810789,1.0
350.0,350.0,1.363169,0.005814,1.0,0.688444,0.010522,0.0,6.663437,0.291198,0.0,8375.290193,13.810789,0.0
