fig,design_range_nm,spec_energy_whkg,source,metric,value,ref,ref_value,ref_halfwidth,err,rel_err,tol,within_tol
5,300.0,250.0,truth,fuel_mileage_lb_per_nmi,1.1663846286120194,paper,1.151026,0.044826,0.01535862861201931,0.013343424572528604,0.06784652,True
5,300.0,300.0,truth,fuel_mileage_lb_per_nmi,0.9000064771169156,paper,0.947814,0.044826,-0.04780752288308443,-0.050439772870082555,0.064826,True
5,300.0,350.0,truth,fuel_mileage_lb_per_nmi,0.6093653624780779,paper,0.648974,0.044826,-0.03960863752192212,-0.061032703192920076,0.064826,True
5,300.0,400.0,truth,fuel_mileage_lb_per_nmi,0.28603242775212573,paper,0.350133,0.044826,-0.0641005722478743,-0.1830749236657907,0.064826,True
5,300.0,450.0,truth,fuel_mileage_lb_per_nmi,0.001637766562962415,paper,0.054281,0.041838,-0.052643233437037584,-0.9698279957450596,0.061838000000000004,True
5,300.0,500.0,truth,fuel_mileage_lb_per_nmi,0.0015022933349684339,paper,0.054281,0.041838,-0.052778706665031566,-0.9723237719465663,0.061838000000000004,True
5,300.0,550.0,truth,fuel_mileage_lb_per_nmi,0.0014077237728646246,paper,0.054281,0.041838,-0.05287327622713538,-0.9740659941256679,0.061838000000000004,True
5,300.0,600.0,truth,fuel_mileage_lb_per_nmi,0.0013379448034788388,paper,0.054281,0.041838,-0.05294305519652116,-0.9753515078300171,0.061838000000000004,True
5,300.0,650.0,truth,fuel_mileage_lb_per_nmi,0.001284321922638457,paper,0.054281,0.041838,-0.052996678077361546,-0.9763393835294402,0.061838000000000004,True
5,300.0,700.0,truth,fuel_mileage_lb_per_nmi,0.0012418013257724449,paper,0.054281,0.041838,-0.05303919867422756,-0.9771227257093192,0.061838000000000004,True
5,300.0,750.0,truth,fuel_mileage_lb_per_nmi,0.0012072433469194138,paper,0.054281,0.041838,-0.05307375665308059,-0.9777593753446066,0.061838000000000004,True
5,300.0,800.0,truth,fuel_mileage_lb_per_nmi,0.001192388450933326,paper,0.054281,0.041838,-0.053088611549066675,-0.9780330419311853,0.061838000000000004,True
5,325.0,250.0,truth,fuel_mileage_lb_per_nmi,1.3789628730362378,paper,1.348261,0.044826,0.030701873036237837,0.022771461190554232,0.07179121999999999,True
5,325.0,300.0,truth,fuel_mileage_lb_per_nmi,1.0401533967428123,paper,1.04942,0.044826,-0.009266603257187755,-0.008830214077478755,0.0658144,True
5,325.0,350.0,truth,fuel_mileage_lb_per_nmi,0.783748883552814,paper,0.852186,0.044826,-0.06843711644718597,-0.08030772207849692,0.064826,False
5,325.0,400.0,truth,fuel_mileage_lb_per_nmi,0.5016558849813755,paper,0.550357,0.041838,-0.04870111501862451,-0.08849004376908899,0.061838000000000004,True
5,325.0,450.0,truth,fuel_mileage_lb_per_nmi,0.18544817849988884,paper,0.248528,0.044826,-0.06307982150011116,-0.25381374130927364,0.064826,True
5,325.0,500.0,truth,fuel_mileage_lb_per_nmi,0.0016462467815751762,paper,0.054281,0.041838,-0.052634753218424826,-0.9696717676244878,0.061838000000000004,True
5,325.0,550.0,truth,fuel_mileage_lb_per_nmi,0.001526929520368412,paper,0.054281,0.041838,-0.05275407047963159,-0.971869908064177,0.061838000000000004,True
5,325.0,600.0,truth,fuel_mileage_lb_per_nmi,0.0014405287609045622,paper,0.054281,0.041838,-0.05284047123909544,-0.9734616392309544,0.061838000000000004,True
5,325.0,650.0,truth,fuel_mileage_lb_per_nmi,0.0013750669231352099,paper,0.054281,0.041838,-0.052905933076864795,-0.9746676199197655,0.061838000000000004,True
5,325.0,700.0,truth,fuel_mileage_lb_per_nmi,0.0013237356886957345,paper,0.054281,0.041838,-0.05295726431130427,-0.9756132774139067,0.061838000000000004,True
5,325.0,750.0,truth,fuel_mileage_lb_per_nmi,0.0012823829015509932,paper,0.054281,0.041838,-0.05299861709844901,-0.9763751054411122,0.061838000000000004,True
