Case,Harness,Model,Seeds,Passed,Failed,Lost,Review,Valid-call rate (med),Turns (med),Wall clock s (med)
paraboloid,claude,claude-opus-4-8,1,1/1,0,0,0,1,43,190
paraboloid,claude,claude-opus-5,3,3/3,0,0,0,1,69,283
paraboloid,opencode,gemma4:26b-mlx,5,4/5,1,0,0,1,39,204
paraboloid,opencode,qwen3.6:35b-mlx,5,3/5,2,0,0,0.887,38,294
paraboloid,opencode,qwen3:8b,3,0/3,3,0,0,0,1,26.7
oas_aero_rect,claude,claude-opus-4-8,1,1/1,0,0,0,1,30,241
oas_aero_rect,claude,claude-opus-5,3,3/3,0,0,0,1,46,213
oas_aero_rect,opencode,gemma4:26b-mlx,5,1/5,4,0,0,0.909,23,340
oas_aero_rect,opencode,qwen3.6:35b-mlx,5,5/5,0,0,0,0.909,18,336
oas_aerostruct_rect,claude,claude-opus-4-8,1,1/1,0,0,0,1,41,422
oas_aerostruct_rect,claude,claude-opus-5,3,2/3,1,0,0,1,50,280
oas_aerostruct_rect,opencode,gemma4:26b-mlx,5,0/5,5,0,0,0.72,50,691
oas_aerostruct_rect,opencode,qwen3.6:35b-mlx,5,0/5,5,0,0,0.875,16,276
ocp_caravan_basic,claude,claude-opus-4-8,3,3/3,0,0,0,1,24,157
ocp_caravan_basic,claude,claude-opus-5,3,3/3,0,0,0,1,42,205
ocp_caravan_basic,opencode,gemma4:26b-mlx,5,1/5,4,0,0,0.875,14,193
ocp_caravan_basic,opencode,qwen3.6:35b-mlx,5,4/5,1,0,0,0.952,19,397
ocp_caravan_full,claude,claude-opus-4-8,1,0/1,1,0,1,1,26,142
ocp_caravan_full,claude,claude-opus-5,3,3/3,0,0,0,1,38,159
ocp_caravan_full,opencode,gemma4:26b-mlx,5,2/5,3,0,0,0.909,12,250
ocp_caravan_full,opencode,qwen3.6:35b-mlx,5,5/5,0,0,0,0.867,25,276
ocp_hybrid_twin,claude,claude-opus-4-8,1,0/1,0,1,0,--,--,--
ocp_hybrid_twin,claude,claude-opus-5,3,3/3,0,0,0,1,36,143
ocp_hybrid_twin,opencode,gemma4:26b-mlx,5,3/5,2,0,0,0.727,26,229
ocp_hybrid_twin,opencode,qwen3.6:35b-mlx,5,2/5,3,0,0,0.955,18,248
oas_ocp_combined,claude,claude-opus-4-8,1,1/1,0,0,0,1,37,264
oas_ocp_combined,claude,claude-opus-5,3,3/3,0,0,0,1,50,239
oas_ocp_combined,opencode,gemma4:26b-mlx,5,0/5,5,0,0,0.818,23,350
oas_ocp_combined,opencode,qwen3.6:35b-mlx,5,1/5,4,0,0,0.889,4,421
ocp_oas_coupled,claude,claude-opus-4-8,1,1/1,0,0,0,1,22,124
ocp_oas_coupled,claude,claude-opus-5,3,3/3,0,0,0,1,40,211
ocp_oas_coupled,opencode,gemma4:26b-mlx,5,1/5,4,0,0,0.875,19,268
ocp_oas_coupled,opencode,qwen3.6:35b-mlx,5,3/5,2,0,0,0.964,26,639
ocp_oas_direct,claude,claude-opus-4-8,1,1/1,0,0,0,1,24,153
ocp_oas_direct,claude,claude-opus-5,3,3/3,0,0,0,0.98,38,278
ocp_oas_direct,opencode,gemma4:26b-mlx,5,0/5,5,0,0,1,4,210
ocp_oas_direct,opencode,qwen3.6:35b-mlx,5,0/5,5,0,0,0.9,20,469
pyc_turbojet,claude,claude-opus-4-8,1,1/1,0,0,0,1,36,238
pyc_turbojet,claude,claude-opus-5,3,3/3,0,0,0,0.988,76,440
pyc_turbojet,opencode,gemma4:26b-mlx,5,0/5,5,0,0,0.978,11,313
pyc_turbojet,opencode,qwen3.6:35b-mlx,5,0/5,5,0,0,0.9,9,275
evt_native_sizing,claude,claude-opus-4-8,1,1/1,0,0,0,1,22,364
evt_native_sizing,claude,claude-opus-5,3,3/3,0,0,0,1,38,160
evt_native_sizing,opencode,gemma4:26b-mlx,5,1/5,4,0,0,0.806,26,226
evt_native_sizing,opencode,qwen3.6:35b-mlx,5,5/5,0,0,0,0.833,21,558
ocp_three_tool,claude,claude-opus-4-8,1,0/1,1,0,0,0.976,42,1.31e+03
ocp_three_tool,opencode,gemma4:26b-mlx,1,0/1,1,0,0,1,2,44.8
avy_single_aisle,claude,claude-opus-5,3,3/3,0,0,0,0.981,55,202
avy_single_aisle,opencode,gemma4:26b-mlx,5,0/5,5,0,0,0.889,29,565
avy_single_aisle,opencode,qwen3.6:35b-mlx,5,4/5,1,0,1,0.952,17,221
avy_three_tool,claude,claude-opus-5,3,3/3,0,0,0,0.981,59,270
avy_three_tool,opencode,gemma4:26b-mlx,5,0/5,5,0,0,0.892,29,865
avy_three_tool,opencode,qwen3.6:35b-mlx,5,0/5,5,0,0,0.909,19,326
